##FastQC	0.11.7
>>Basic Statistics	pass
#Measure	Value
Filename	ERR458881.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1321748
Sequences flagged as poor quality	0
Sequence length	51
%GC	42
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.19194884350118	31.0	30.0	31.0	27.0	34.0
2	28.416329739103066	31.0	27.0	31.0	16.0	34.0
3	27.11722431204738	31.0	25.0	31.0	16.0	34.0
4	30.751330813437963	35.0	28.0	37.0	19.0	37.0
5	33.285716339271936	35.0	32.0	37.0	28.0	37.0
6	30.659569751571404	35.0	32.0	37.0	10.0	37.0
7	32.28862839209895	35.0	32.0	37.0	17.0	37.0
8	34.14640536622715	35.0	33.0	37.0	30.0	37.0
9	36.20688512484982	37.0	35.0	39.0	32.0	39.0
10	36.57547656588094	38.0	35.0	39.0	32.0	39.0
11	36.62389502386234	38.0	35.0	39.0	32.0	39.0
12	36.60948229163199	38.0	35.0	39.0	32.0	39.0
13	36.594875119916956	38.0	35.0	39.0	32.0	39.0
14	37.75463250180821	40.0	36.0	41.0	32.0	41.0
15	37.75313145924942	40.0	36.0	41.0	32.0	41.0
16	37.668516994162275	39.0	36.0	41.0	32.0	41.0
17	37.54288336354585	39.0	36.0	41.0	32.0	41.0
18	37.60287059257892	39.0	36.0	40.0	32.0	41.0
19	37.479602011881234	39.0	36.0	40.0	32.0	41.0
20	37.55809276806169	39.0	36.0	40.0	32.0	41.0
21	37.56005456410753	39.0	36.0	40.0	32.0	41.0
22	37.52797280570881	39.0	36.0	40.0	32.0	41.0
23	37.42572109055584	39.0	36.0	40.0	32.0	41.0
24	37.585765970517826	39.0	36.0	40.0	32.0	41.0
25	37.546325018082115	39.0	36.0	40.0	32.0	41.0
26	37.442695581911224	39.0	36.0	40.0	32.0	41.0
27	37.43840959093564	39.0	36.0	40.0	32.0	41.0
28	37.36914600967809	39.0	36.0	40.0	32.0	41.0
29	37.32727569854465	39.0	36.0	40.0	31.0	41.0
30	37.271813537830205	39.0	36.0	40.0	31.0	41.0
31	37.21882310395022	39.0	36.0	40.0	31.0	41.0
32	37.1666785196573	39.0	36.0	40.0	31.0	41.0
33	37.079799628976176	39.0	36.0	40.0	31.0	41.0
34	37.034797102019446	39.0	36.0	40.0	31.0	41.0
35	36.9888352393951	39.0	36.0	40.0	30.0	41.0
36	36.90837739115172	39.0	36.0	40.0	30.0	41.0
37	36.868522592808915	39.0	36.0	40.0	30.0	41.0
38	36.775956536344296	39.0	35.0	40.0	30.0	41.0
39	36.722084693905344	39.0	35.0	40.0	30.0	41.0
40	36.64119559855585	39.0	35.0	40.0	30.0	41.0
41	36.56556393503149	38.0	35.0	40.0	30.0	41.0
42	36.48265932689136	38.0	35.0	40.0	30.0	41.0
43	36.66374376961418	39.0	35.0	40.0	30.0	41.0
44	36.68343209144255	39.0	35.0	40.0	30.0	41.0
45	36.65230588584208	39.0	35.0	40.0	30.0	41.0
46	36.57509752237189	39.0	35.0	40.0	30.0	41.0
47	36.51733613366542	39.0	35.0	40.0	30.0	41.0
48	36.36293605135018	39.0	35.0	40.0	30.0	41.0
49	36.22126002838665	39.0	35.0	40.0	30.0	41.0
50	36.016621171357926	39.0	35.0	40.0	30.0	41.0
51	34.513796124526	37.0	33.0	40.0	26.0	40.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1103	24	0.4898439638501131
1103	25	0.6219382461998961
1103	26	0.4135091006689464
1103	27	0.47616790981035706
1103	28	0.6994977272134619
1103	29	0.535829811885236
1103	30	0.3840439051285145
1103	31	0.518597658416148
1103	32	0.42603569336076674
1103	33	0.5164985156306443
1103	34	0.38841492898149
1103	35	0.3649872878035083
1103	36	0.26408942378875366
1103	37	0.293892314505122
1103	38	0.6175029153228309
1103	39	0.5830779982430911
1103	40	0.41059716337816354
1103	41	0.601783779545471
1103	42	0.503256970725289
1103	43	0.5903838556006207
1103	44	0.6626033052928832
1103	45	0.6032798899410281
1103	46	0.5767412758211634
1103	47	0.5767243736104888
1103	48	0.6733396506557625
1103	49	0.800900376096493
1103	50	0.7674745241672483
1103	51	0.8143132461393563
1104	1	0.4263985071622898
1104	2	1.8896250754410495
1104	3	1.9196119459053769
1104	4	3.284325205385752
1104	5	1.4280332924079389
1104	6	5.38143115999371
1104	7	3.428850748567122
1104	8	1.2473582437164197
1104	9	0.6194282229166816
1104	10	0.30154328151020593
1104	11	0.21479525676954836
1104	12	0.1920157660497921
1104	13	0.2214979718899741
1104	14	0.25567983232325986
1104	15	0.22522802061422453
1104	16	0.38139342143340116
1104	17	0.014416685932893358
1104	18	0.2557196790975951
1104	19	0.06367449410401349
1104	20	0.09896384096670374
1104	21	0.228926851082484
1104	22	0.22851125905989988
1104	23	0.33567184651003856
1104	24	0.22602700323007952
1104	25	0.2947403978536016
1104	26	0.11042754143402078
1104	27	0.2522341069082401
1104	28	0.25405700761051264
1104	29	-0.04246207059755136
1104	30	0.12702395453057136
1104	31	-0.032176235683976984
1104	32	-0.19851471450868985
1104	33	0.13845105042646821
1104	34	-0.10114453743425145
1104	35	-0.10397483691318854
1104	36	-0.22334191370813983
1104	37	-0.03408455754747308
1104	38	-0.03623025421384085
1104	39	0.2274470999006084
1104	40	0.11576694206853944
1104	41	0.19026535223386531
1104	42	0.19607322973545394
1104	43	0.11797456037844256
1104	44	0.21913626273068587
1104	45	-0.026742473638691422
1104	46	0.22916442285897887
1104	47	0.17922273608236594
1104	48	0.22189635234530414
1104	49	0.07456129522420696
1104	50	-0.08874693652662557
1104	51	-1.2052613544000224E-4
1105	1	0.45829213329609075
1105	2	2.1434604112728515
1105	3	1.2214773966115686
1105	4	3.212510836958888
1105	5	1.305750964766382
1105	6	5.325455491235118
1105	7	3.3879835368099407
1105	8	1.2290622635912314
1105	9	0.6888870034253074
1105	10	0.38744987569867106
1105	11	0.22755610854347452
1105	12	0.3307410483420341
1105	13	0.11352305558675369
1105	14	0.19196130061080652
1105	15	0.27111495655903184
1105	16	0.38170266393158414
1105	17	0.2625117729685229
1105	18	0.29885258673370174
1105	19	0.07677374255103331
1105	20	0.17624912914530455
1105	21	0.05561985831480598
1105	22	0.08798015329063702
1105	23	0.1439470508148588
1105	24	0.09934794835289296
1105	25	0.28370588972271094
1105	26	0.2888996821903831
1105	27	0.3074392724727204
1105	28	0.1874067459517974
1105	29	0.1110433371548254
1105	30	0.24327865650895575
1105	31	0.20897182795819447
1105	32	0.2698675827986463
1105	33	0.2287647840558833
1105	34	0.0956912627819122
1105	35	0.2880481643425199
1105	36	0.2472429120991393
1105	37	0.23546522563570704
1105	38	0.30808089857693943
1105	39	0.2723962432190632
1105	40	0.24364756544032673
1105	41	0.19821125319158028
1105	42	0.3345607666727517
1105	43	0.4270844764768924
1105	44	0.251056613524824
1105	45	0.41746407119591566
1105	46	0.3581081323945412
